SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
ACB:6239:0001,Critical Thinking in Cell Biology,Charles Yeaman,,0,2,4,0,0,0,0,0,0,0,0,0,0,0,Spring,2023,0
ACB:6249:0001,Critical Thinking in Cellular Physiology,Botond Banfi,,0,1,2,0,3,0,0,0,0,0,0,0,0,0,Spring,2023,0
ACB:6252:0001,Functional Neuroanatomy,Justin Sipla,,0,8,0,0,10,0,0,0,0,0,0,0,0,0,Spring,2023,0
ACB:8120:0800,Human Gross Anatomy for Dental Students,Darren Hoffmann,,5,11,11,12,14,10,9,9,0,0,0,0,0,0,Spring,2023,0
ACB:8121:0800,General Histology for Dental Students,Nathan Swailes,,6,15,9,8,12,14,9,8,0,0,0,0,0,0,Spring,2023,0
ACCT:2100:0A01,Introduction to Financial Accounting,Sam Eichhorn,,0,0,4,8,7,3,2,2,0,0,0,1,1,0,Spring,2023,0
ACCT:2100:0A02,Introduction to Financial Accounting,Anna Thomas,,2,2,7,6,5,5,1,2,1,0,0,0,0,0,Spring,2023,0
ACCT:2100:0A03,Introduction to Financial Accounting,Grace Foxen,,2,3,5,7,4,3,3,1,2,0,0,0,0,0,Spring,2023,0
ACCT:2100:0A04,Introduction to Financial Accounting,Dom Cravero,,3,4,6,3,3,6,3,0,2,0,0,0,0,1,Spring,2023,0
ACCT:2100:0A05,Introduction to Financial Accounting,Anna Thomas,,1,2,7,5,1,6,3,0,0,1,1,0,0,0,Spring,2023,0
ACCT:2100:0A06,Introduction to Financial Accounting,Dom Cravero,,2,3,8,8,2,2,2,1,1,1,0,0,0,0,Spring,2023,0
