SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
BAIS:6210:0EXP,Data Leadership and Management,Kristy Walker - Primary Instructor,,-,37,-,-,0,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
BAIS:9120:0EX8,Managing the Supply Chain,Terry Esper - Primary Instructor,Sharon Ho - Course Supervisor,-,16,-,-,3,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
CSED:2081:0EXW,Making a Vocational-Educational Choice,Molly Rechkemmer - Primary Instructor,,-,29,-,-,8,-,-,1,-,-,1,-,-,0,Winter,2023-2024,1
CSED:4140:0EXV,Foundations of Leadership,Robert Metzger Iii - Primary Instructor,,-,27,-,-,8,-,-,3,-,-,1,-,-,0,Winter,2023-2024,1
CSED:4140:0EXW,Foundations of Leadership,Robert Metzger Iii - Primary Instructor,,-,18,-,-,9,-,-,2,-,-,2,-,-,0,Winter,2023-2024,1
EDTL:4900:0EXW,Foundations of Special Education,Pam Ries - Primary Instructor,,-,20,-,-,5,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
ENGL:1200:0EXV,The Interpretation of Literature,Jacqui Alpine - Primary Instructor,Lafayette Adams - Course Supervisor,-,16,-,-,6,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
ENGL:1200:0EXW,The Interpretation of Literature,Ruben Cota - Primary Instructor,Lafayette Adams - Course Supervisor,-,18,-,-,2,-,-,0,-,-,1,-,-,0,Winter,2023-2024,1
ENTR:9200:0EXO,Entrepreneurial Finance,Scott Hauser - Primary Instructor,,-,11,-,-,4,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
ENTR:9450:0EXO,Strategic Mgmt of Tech & Innovation,Lynn Allendorf - Primary Instructor,,-,18,-,-,1,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
FIN:9350:0EXO,Wealth Management,Ashish Tiwari - Primary Instructor,,-,11,-,-,7,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
HHP:1100:0EXW,Human Anatomy,Kelli Taeger - Primary Instructor,,-,5,-,-,6,-,-,9,-,-,5,-,-,0,Winter,2023-2024,1
HHP:2200:0EXW,Physical Activity and Health,Amy Fletcher - Primary Instructor,,-,2,-,-,9,-,-,7,-,-,3,-,-,0,Winter,2023-2024,1
IS:2020:0EXW,World Events Today!,Peter Gerlach - Primary Instructor,,-,25,-,-,0,-,-,2,-,-,3,-,-,0,Winter,2023-2024,1
ITAL:2770:0EXW,The Mafia and the Movies,Irene Lottini - Primary Instructor,,-,16,-,-,7,-,-,3,-,-,1,-,-,0,Winter,2023-2024,1
MATH:2550:0EXW,Engineering Math III: Matrix Algebra,Olga Sokratova - Primary Instructor,,-,18,-,-,31,-,-,33,-,-,4,-,-,0,Winter,2023-2024,1
MBA:8500:0EXG,Seminar in International Business,Dimy Doresca - Primary Instructor,,-,15,-,-,0,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
MGMT:9110:0EXO,Dynamics of Negotiations,Daniel Feltes - Primary Instructor,,-,33,-,-,5,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
MGMT:9130:0EXO,Strategic Management of Change,Sue Dustin - Primary Instructor,,-,31,-,-,1,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
MGMT:9185:0EXO,Project Management,Stacy Claeys - Primary Instructor,,-,38,-,-,1,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
MGMT:9230:0EXO,Managing and Preventing Conflict,Jay Christensen-Szalanski - Primary Instructor,,-,31,-,-,8,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
MUS:1303:0EXW,History of Popular Music,Trevor Harvey - Primary Instructor,,-,20,-,-,16,-,-,1,-,-,0,-,-,0,Winter,2023-2024,1
PHYS:1200:0EXW,Physics of Everyday Experience,Shea Brown - Primary Instructor,,-,51,-,-,9,-,-,2,-,-,0,-,-,0,Winter,2023-2024,1
POLI:1950:0EXW,Introduction to the Politics of Religion,Nicholas Martini - Primary Instructor,,-,23,-,-,10,-,-,0,-,-,0,-,-,0,Winter,2023-2024,1
SOC:2710:0EXR,The American Family,Jennifer Haylett - Primary Instructor,,-,28,-,-,18,-,-,6,-,-,1,-,-,0,Winter,2023-2024,1
SPAN:2050:0EXW,Spanish in the U.S.,Ruth Westfall - Primary Instructor,,-,13,-,-,5,-,-,2,-,-,0,-,-,0,Winter,2023-2024,1
SRM:4197:0004,Sport and Recreation Field Experience,Anna Jensen - Primary Instructor,,-,8,-,-,14,-,-,15,-,-,1,-,-,0,Winter,2023-2024,1
