SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
CLSA:2016:0A11,Classical Mythology,Hannah Leeper - Primary Instructor,Debra Trusty - Course Supervisor,-,10.0,-,-,9.0,-,-,3.0,-,-,1.0,-,-,0.0,Fall,2023,1
CLSA:2016:0A12,Classical Mythology,Hannah Leeper - Primary Instructor,Debra Trusty - Course Supervisor,-,14.0,-,-,8.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
CLSA:2016:0A13,Classical Mythology,Hannah Leeper - Primary Instructor,Debra Trusty - Course Supervisor,-,12.0,-,-,9.0,-,-,3.0,-,-,0.0,-,-,1.0,Fall,2023,1
CLSA:2016:0EXW,Classical Mythology,Peter Miller - Primary Instructor,Craig Gibson - Course Supervisor,-,13.0,-,-,5.0,-,-,1.0,-,-,0.0,-,-,6.0,Fall,2023,1
CLSA:2444:0EXW,Cities of the Bible,Craig Gibson - Primary Instructor,Robert Cargill - Course Supervisor,-,105.0,-,-,19.0,-,-,1.0,-,-,5.0,-,-,0.0,Fall,2023,1
CLSA:2489:0001,Jerusalem: The Holy City,Robert Cargill - Primary Instructor,,-,7.0,-,-,2.0,-,-,1.0,-,-,1.0,-,-,0.0,Fall,2023,1
CLSA:2620:0001,Sex and the Bible,Peter Miller - Primary Instructor,Craig Gibson - Course Supervisor,-,16.0,-,-,4.0,-,-,0.0,-,-,3.0,-,-,3.0,Fall,2023,1
CLSA:2620:0002,Sex and the Bible,Peter Miller - Primary Instructor,Craig Gibson - Course Supervisor,-,17.0,-,-,6.0,-,-,1.0,-,-,1.0,-,-,0.0,Fall,2023,1
CLSA:2651:0001,Gender & Sexuality in the Ancient World,Celsiana Warwick - Primary Instructor,,-,7.0,-,-,8.0,-,-,1.0,-,-,0.0,-,-,0.0,Fall,2023,1
CLSA:3235:0001,Greek Archaeology and Ethnohistory,Debra Trusty - Primary Instructor,,-,11.0,-,-,7.0,-,-,1.0,-,-,1.0,-,-,2.0,Fall,2023,1
CLSA:3742:0EXW,Word Power: Building English Vocabulary,Artemis Lopez - Primary Instructor,Craig Gibson - Course Supervisor,-,5.0,-,-,12.0,-,-,3.0,-,-,3.0,-,-,4.0,Fall,2023,1
