SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
ACB:3110:0EXW,Principles of Human Anatomy,Kathleen Andersen,,4,45,71,24,16,9,2,6,2,3,0,0,1,3,Fall,2022,0
ACB:5108:0001,Human Anatomy,Kathleen Andersen,,0,6,10,8,11,10,2,2,0,0,0,0,0,0,Fall,2022,0
ACB:6220:0001,Mechanisms of Cellular Organization,Thomas Rutkowski,,3,4,1,0,3,0,0,0,0,0,0,0,0,0,Fall,2022,0
ACB:6237:0001,Critical Thinking Biochem & Mol Biology,C Andrew Frank,,0,9,0,0,0,0,0,0,0,0,0,0,0,0,Fall,2022,0
ACB:6238:0001,Critical Thinking in Genetics,Adam Dupuy,,0,4,0,3,4,0,0,0,0,0,0,0,0,0,Fall,2022,0
ACB:6248:0001,Critical Thinking in Development,Fang Lin,,2,3,3,0,0,0,0,0,0,0,0,0,0,0,Fall,2022,0
ACB:7010:0001,Anatomy Through Imaging,Marc Pizzimenti,,0,5,0,0,1,0,0,0,0,0,0,0,0,0,Fall,2022,0
ACCT:2100:0A01,Introduction to Financial Accounting,Scott Asay,,5,4,3,6,1,2,0,1,1,0,1,0,0,1,Fall,2022,0
ACCT:2100:0A02,Introduction to Financial Accounting,Dom Cravero,,4,1,4,3,8,1,3,2,0,0,0,0,0,2,Fall,2022,0
ACCT:2100:0A03,Introduction to Financial Accounting,Anna Thomas,,1,1,1,4,7,1,7,3,3,0,1,0,0,1,Fall,2022,0
ACCT:2100:0A04,Introduction to Financial Accounting,Dom Cravero,,4,2,3,5,3,0,4,5,2,0,1,0,0,0,Fall,2022,0
ACCT:2100:0A05,Introduction to Financial Accounting,Derek Smith,,0,2,0,6,6,0,4,3,3,1,0,0,1,2,Fall,2022,0
ACCT:2100:0A06,Introduction to Financial Accounting,Grace Foxen,,1,2,3,5,4,4,0,4,2,1,0,0,0,4,Fall,2022,0
ACCT:2100:0A07,Introduction to Financial Accounting,Sam Eichhorn,,1,1,2,4,8,1,6,3,2,0,0,0,0,0,Fall,2022,0
ACCT:2100:0A08,Introduction to Financial Accounting,Grace Foxen,,2,3,0,6,8,3,3,3,0,0,0,1,0,1,Fall,2022,0
