SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
POLI:3701:0002,Special Topics in Politics,Michael Michener - Primary Instructor,,-,13.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,2.0,Spring,2024,1
POLI:3701:0003,Special Topics in Politics,Robert Bone - Primary Instructor,,-,16.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
POLI:4800:0001,Senior Seminar International Relations,Nicholas Martini - Primary Instructor,,-,13.0,-,-,3.0,-,-,1.0,-,-,6.0,-,-,0.0,Spring,2024,1
POLI:5400:0001,Comparative Politics,Elise Pizzi - Primary Instructor,,-,14.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PORT:2000:0001,Accelerated Elementary Portuguese,Suzanne Wedeking - Primary Instructor,,-,10.0,-,-,8.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PRNT:2610:0002,Introduction to Printmaking,Thomas Christison - Primary Instructor,,-,10.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,1.0,Spring,2024,1
PRNT:2610:0003,Introduction to Printmaking,Lya Finston - Primary Instructor,Thomas Christison - Course Supervisor,-,10.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PRNT:3610:0001,New Media for Printmaking,Heather Parrish - Primary Instructor,,-,12.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PRNT:3620:0001,Intaglio,Terry Conrad - Primary Instructor,,-,10.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PRNT:3680:0001,Silkscreen,Anita Jung - Primary Instructor,,-,11.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PRNT:6675:0001,Graduate Print Workshop,Terry Conrad - Primary Instructor,,-,12.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8122:0800,Tx Dentulous - Fxd Pros Ant Teeth - Lect,Franciele Quiquio Santiago Floriani - Primary Instructor,,-,79.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8123:0800,Tx Dentulous - Fixed Pros Ant Lab,Carlos Jurado - Primary Instructor,,-,76.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8124:0800,Tx Dentulous- Fixed Pros Post - Lecture,Zeina Al-Salihi - Primary Instructor,,-,36.0,-,-,42.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8125:0800,Tx Dentulous - Fixed Pros Post - Lab,Zeina Al-Salihi - Primary Instructor,,-,52.0,-,-,21.0,-,-,5.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8244:0800,Tx Part Edent: Rem Part Prosth - Lect,Mai El Najjar - Primary Instructor,,-,62.0,-,-,21.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8245:0800,Tx Part Edent: Rem Part Prosth - Pt Sim,Mai El Najjar - Primary Instructor,,-,84.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8246:0800,Tx Edentulous Patient: Rem CD Lecture,Joe Curtis - Primary Instructor,,-,47.0,-,-,34.0,-,-,2.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8247:0800,Tx Edentulous Pt: Rem CD Sim,Joe Curtis - Primary Instructor,,-,41.0,-,-,42.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PROS:8370:0805,Introduction to Clinical Prosthodontics,Pantip Henprasert - Primary Instructor,,-,1.0,-,-,20.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
